1818 240 240
101 193 -1 0
104 192 -1 0
103 192 -1 0
102 192 -1 0
101 192 -1 0
100 192 -1 0
99 192 -1 0
98 192 -1 0
105 191 -1 0
104 191 -1 0
103 191 -1 0
102 191 -1 0
101 191 -1 0
100 191 -1 0
99 191 -1 0
98 191 -1 0
97 191 -1 0
105 190 -1 0
104 190 -1 0
103 190 -1 0
102 190 -1 0
101 190 -1 0
100 190 -1 0
99 190 -1 0
98 190 -1 0
97 190 -1 0
96 190 -1 0
105 189 -1 0
104 189 -1 0
103 189 -1 0
102 189 -1 0
101 189 -1 0
100 189 -1 0
99 189 -1 0
98 189 -1 0
97 189 -1 0
96 189 -1 0
95 189 -1 0
106 188 -1 0
105 188 -1 0
104 188 -1 0
103 188 -1 0
102 188 -1 0
101 188 -1 0
100 188 -1 0
99 188 -1 0
98 188 -1 0
97 188 -1 0
96 188 -1 0
95 188 -1 0
106 187 -1 0
105 187 -1 0
104 187 -1 0
103 187 -1 0
102 187 -1 0
101 187 -1 0
100 187 -1 0
99 187 -1 0
98 187 -1 0
97 187 -1 0
96 187 -1 0
95 187 -1 0
94 187 -1 0
105 186 -1 0
104 186 -1 0
103 186 -1 0
102 186 -1 0
101 186 -1 0
100 186 -1 0
99 186 -1 0
98 186 -1 0
97 186 -1 0
96 186 -1 0
95 186 -1 0
94 186 -1 0
105 185 -1 0
104 185 -1 0
103 185 -1 0
102 185 -1 0
101 185 -1 0
100 185 -1 0
99 185 -1 0
98 185 -1 0
97 185 -1 0
96 185 -1 0
95 185 -1 0
94 185 -1 0
105 184 -1 0
104 184 -1 0
103 184 -1 0
102 184 -1 0
101 184 -1 0
100 184 -1 0
99 184 -1 0
98 184 -1 0
97 184 -1 0
96 184 -1 0
95 184 -1 0
94 184 -1 0
93 184 -1 0
104 183 -1 0
103 183 -1 0
102 183 -1 0
101 183 -1 0
100 183 -1 0
99 183 -1 0
98 183 -1 0
97 183 -1 0
96 183 -1 0
95 183 -1 0
94 183 -1 0
93 183 -1 0
103 182 -1 0
102 182 -1 0
101 182 -1 0
100 182 -1 0
99 182 -1 0
98 182 -1 0
97 182 -1 0
96 182 -1 0
95 182 -1 0
94 182 -1 0
93 182 -1 0
92 182 -1 0
103 181 -1 0
102 181 -1 0
101 181 -1 0
100 181 -1 0
99 181 -1 0
98 181 -1 0
97 181 -1 0
96 181 -1 0
95 181 -1 0
94 181 -1 0
93 181 -1 0
92 181 -1 0
102 180 -1 0
101 180 -1 0
100 180 -1 0
99 180 -1 0
98 180 -1 0
97 180 -1 0
96 180 -1 0
95 180 -1 0
94 180 -1 0
93 180 -1 0
92 180 -1 0
91 180 -1 0
102 179 -1 0
101 179 -1 0
100 179 -1 0
99 179 -1 0
98 179 -1 0
97 179 -1 0
96 179 -1 0
95 179 -1 0
94 179 -1 0
