1479 240 240
203 147 -1 0
206 146 -1 0
205 146 -1 0
204 146 -1 0
203 146 -1 0
202 146 -1 0
201 146 -1 0
200 146 -1 0
207 145 -1 0
206 145 -1 0
205 145 -1 0
204 145 -1 0
203 145 -1 0
202 145 -1 0
201 145 -1 0
200 145 -1 0
199 145 -1 0
207 144 -1 0
206 144 -1 0
205 144 -1 0
204 144 -1 0
203 144 -1 0
202 144 -1 0
201 144 -1 0
200 144 -1 0
199 144 -1 0
198 144 -1 0
207 143 -1 0
206 143 -1 0
205 143 -1 0
204 143 -1 0
203 143 -1 0
202 143 -1 0
201 143 -1 0
200 143 -1 0
199 143 -1 0
198 143 -1 0
208 142 -1 0
207 142 -1 0
206 142 -1 0
205 142 -1 0
204 142 -1 0
203 142 -1 0
202 142 -1 0
201 142 -1 0
200 142 -1 0
199 142 -1 0
198 142 -1 0
208 141 -1 0
207 141 -1 0
206 141 -1 0
205 141 -1 0
204 141 -1 0
203 141 -1 0
202 141 -1 0
201 141 -1 0
200 141 -1 0
199 141 -1 0
198 141 -1 0
197 141 -1 0
207 140 -1 0
206 140 -1 0
205 140 -1 0
204 140 -1 0
203 140 -1 0
202 140 -1 0
201 140 -1 0
200 140 -1 0
199 140 -1 0
198 140 -1 0
197 140 -1 0
207 139 -1 0
206 139 -1 0
205 139 -1 0
204 139 -1 0
203 139 -1 0
202 139 -1 0
201 139 -1 0
200 139 -1 0
199 139 -1 0
198 139 -1 0
197 139 -1 0
207 138 -1 0
206 138 -1 0
205 138 -1 0
204 138 -1 0
203 138 -1 0
202 138 -1 0
201 138 -1 0
200 138 -1 0
199 138 -1 0
198 138 -1 0
197 138 -1 0
196 138 -1 0
206 137 -1 0
205 137 -1 0
204 137 -1 0
203 137 -1 0
202 137 -1 0
201 137 -1 0
200 137 -1 0
199 137 -1 0
198 137 -1 0
197 137 -1 0
196 137 -1 0
206 136 -1 0
205 136 -1 0
204 136 -1 0
203 136 -1 0
202 136 -1 0
201 136 -1 0
200 136 -1 0
199 136 -1 0
198 136 -1 0
197 136 -1 0
196 136 -1 0
195 136 -1 0
206 135 -1 0
205 135 -1 0
204 135 -1 0
203 135 -1 0
202 135 -1 0
201 135 -1 0
200 135 -1 0
199 135 -1 0
198 135 -1 0
197 135 -1 0
196 135 -1 0
195 135 -1 0
194 135 -1 0
