1948 408 341
221 122 -1 0
224 121 -1 0
223 121 -1 0
222 121 -1 0
221 121 -1 0
220 121 -1 0
219 121 -1 0
218 121 -1 0
225 120 -1 0
224 120 -1 0
223 120 -1 0
222 120 -1 0
221 120 -1 0
220 120 -1 0
219 120 -1 0
218 120 -1 0
217 120 -1 0
225 119 -1 0
224 119 -1 0
223 119 -1 0
222 119 -1 0
221 119 -1 0
220 119 -1 0
219 119 -1 0
218 119 -1 0
217 119 -1 0
226 118 -1 0
225 118 -1 0
224 118 -1 0
223 118 -1 0
222 118 -1 0
221 118 -1 0
220 118 -1 0
219 118 -1 0
218 118 -1 0
217 118 -1 0
226 117 -1 0
225 117 -1 0
224 117 -1 0
223 117 -1 0
222 117 -1 0
221 117 -1 0
220 117 -1 0
219 117 -1 0
218 117 -1 0
217 117 -1 0
216 117 -1 0
226 116 -1 0
225 116 -1 0
224 116 -1 0
223 116 -1 0
222 116 -1 0
221 116 -1 0
220 116 -1 0
219 116 -1 0
218 116 -1 0
217 116 -1 0
216 116 -1 0
227 115 -1 0
226 115 -1 0
225 115 -1 0
224 115 -1 0
223 115 -1 0
222 115 -1 0
221 115 -1 0
220 115 -1 0
219 115 -1 0
218 115 -1 0
217 115 -1 0
216 115 -1 0
227 114 -1 0
226 114 -1 0
225 114 -1 0
224 114 -1 0
223 114 -1 0
222 114 -1 0
221 114 -1 0
220 114 -1 0
219 114 -1 0
218 114 -1 0
217 114 -1 0
227 113 -1 0
226 113 -1 0
225 113 -1 0
224 113 -1 0
223 113 -1 0
222 113 -1 0
221 113 -1 0
220 113 -1 0
219 113 -1 0
218 113 -1 0
217 113 -1 0
227 112 -1 0
226 112 -1 0
225 112 -1 0
224 112 -1 0
223 112 -1 0
222 112 -1 0
221 112 -1 0
220 112 -1 0
219 112 -1 0
218 112 -1 0
217 112 -1 0
227 111 -1 0
226 111 -1 0
225 111 -1 0
224 111 -1 0
223 111 -1 0
222 111 -1 0
221 111 -1 0
220 111 -1 0
219 111 -1 0
218 111 -1 0
228 110 -1 0
227 110 -1 0
226 110 -1 0
225 110 -1 0
224 110 -1 0
223 110 -1 0
222 110 -1 0
221 110 -1 0
220 110 -1 0
219 110 -1 0
218 110 -1 0
217 110 -1 0
228 109 -1 0
227 109 -1 0
226 109 -1 0
225 109 -1 0
224 109 -1 0
223 109 -1 0
222 109 -1 0
221 109 -1 0
220 109 -1 0
219 109 -1 0
218 109 -1 0
217 109 -1 0
228 108 -1 0
227 108 -1 0
226 108 -1 0
225 108 -1 0
224 108 -1 0
